இது ஒரு உலகளாவிய,1
ஒரு உலகளாவிய தமிழர்கள்,1
உலகளாவிய தமிழர்கள் இணையம்வழி,1
தமிழர்கள் இணையம்வழி ஒன்றுகூடி,1
இணையம்வழி ஒன்றுகூடி தமிழ்,1
ஒன்றுகூடி தமிழ் இலக்கியங்களின்,1
தமிழ் இலக்கியங்களின் மின்பதிப்புக்களை,1
இலக்கியங்களின் மின்பதிப்புக்களை உருவாக்கி,1
மின்பதிப்புக்களை உருவாக்கி அவற்றை,1
உருவாக்கி அவற்றை இணையம்வழி,1
அவற்றை இணையம்வழி உலகெங்கிலும்,1
இணையம்வழி உலகெங்கிலும் உள்ள,1
உலகெங்கிலும் உள்ள தமிழர்களும்,1
உள்ள தமிழர்களும் தமிழார்வலர்களும்,1
தமிழர்களும் தமிழார்வலர்களும் இலவசமாக,1
தமிழார்வலர்களும் இலவசமாக பெற,1
இலவசமாக பெற வசதிசெய்யும்,1
பெற வசதிசெய்யும் திட்டம்,1
எந்த ஒரு சமூகத்திற்கும்,1
ஒரு சமூகத்திற்கும் இலக்கியங்கள்தான்,1
சமூகத்திற்கும் இலக்கியங்கள்தான் அக்கலாசாரத்திற்கான,1
இலக்கியங்கள்தான் அக்கலாசாரத்திற்கான ஒரு,1
அக்கலாசாரத்திற்கான ஒரு முக்கிய,1
ஒரு முக்கிய எடுத்துக்காட்டு,1
அதை செவ்வனே காத்து,1
செவ்வனே காத்து உலகளாவிய,1
காத்து உலகளாவிய தமிழர்களுக்கும்,1
உலகளாவிய தமிழர்களுக்கும் ஏனையோருக்கும்,1
தமிழர்களுக்கும் ஏனையோருக்கும் பகிர்ந்துகொள்வதும்,1
ஏனையோருக்கும் பகிர்ந்துகொள்வதும் வரும்,1
பகிர்ந்துகொள்வதும் வரும் சந்ததியினருக்கு,1
வரும் சந்ததியினருக்கு கொண்டு,1
சந்ததியினருக்கு கொண்டு செல்வதும்,1
கொண்டு செல்வதும் ஒவ்வொரு,1
செல்வதும் ஒவ்வொரு தமிழரின்,1
ஒவ்வொரு தமிழரின் கடமை,1
மதுரைத் திட்டம் இதற்கான,1
திட்டம் இதற்கான ஒரு,1
இதற்கான ஒரு கூட்டு,1
ஒரு கூட்டு முயற்சி,2
மதுரைத் திட்டம் எந்தவித,1
திட்டம் எந்தவித அரசாங்க,1
தனியார் நிறுவன உதவியின்றி,1
எந்தவித வியாபார நோக்கமுமின்றி,1
வியாபார நோக்கமுமின்றி நடைபெறுகின்ற,1
நோக்கமுமின்றி நடைபெறுகின்ற ஒரு,1
நடைபெறுகின்ற ஒரு தன்னார்வ,1
ம் ஆண்டு தமிழர்,1
ஆண்டு தமிழர் திருநாள்,1
அன்று ஆரம்பிக்கப்பட்ட இத்திட்டம்,1
ஆரம்பிக்கப்பட்ட இத்திட்டம் இன்றும்,1
இத்திட்டம் இன்றும் தொடர்ந்து,1
இன்றும் தொடர்ந்து இயன்று,1
தொடர்ந்து இயன்று வருகின்றது,1
உலகில் வெவ்வேறு நாடுகளில்,1
