வெளியிட்டு வருகிறோம்,1
தமிழ் இலக்கியக்களின்,1
இலக்கியக்களின் சரித்திம்,1
சரித்திம் மிக,1
மிக பழமையானது,1
முதற் சங்க,1
சங்க கால,2
கால நூல்கள்இரண்டாயிரம்,1
நூல்கள்இரண்டாயிரம் ஆண்டுகளுக்கு,1
ஆண்டுகளுக்கு முன்பே,1
முன்பே இயற்றப்பட்டது,1
இயற்றப்பட்டது என்பது,1
என்பது வல்லுனர்கள்,1
வல்லுனர்கள் கருத்து,1
திட்டம் காலம்,1
இலக்கியப்பிரிவு போன்ற,1
போன்ற எவ்வித,1
எவ்வித பாகுபாடுமின்றி,1
பாகுபாடுமின்றி எல்லாவிதமான,1
எல்லாவிதமான தமிழ்,1
தமிழ் நூல்களின்,2
நூல்களின் மின்பதிப்புக்களை,1
மின்பதிப்புக்களை வெளியிட்டு,1
வெளியிட்டு வருகின்றது,1
தொன்றுதொட்ட சங்க,1
கால நூல்கள்முதல்,1
நூல்கள்முதல் தற்கால,1
தற்கால தமிழ்நூல்கள்,1
தமிழ்நூல்கள் வரை,1
வரை அனைத்தும்,1
அனைத்தும் வெளியிடப்படுகிறது,1
ஒரேஒரு கட்டுப்பாடு,1
கட்டுப்பாடு புத்தக,1
புத்தக வடிவில்,1
வடிவில் வெளியான,1
வெளியான நூல்களுக்கான,1
நூல்களுக்கான காப்புரிமைகளுக்கு,1
காப்புரிமைகளுக்கு மரியாதை,1
மரியாதை கொடுத்து,1
கொடுத்து கண்ணியமாக,1
கண்ணியமாக நடப்பது,1
காப்புரிமை இல்லா,1
இல்லா எல்லா,1
எல்லா நூல்களையும்,1
நூல்களையும் மின்பதிப்பில்,1
மின்பதிப்பில் வெளியிடலாம்,1
காப்புரிமை உள்ள,1
உள்ள கடந்த,1
கடந்த நூற்றாண்டு,1
தற்கால நூல்களுக்கு,1
நூல்களுக்கு காப்புரிமை,1
காப்புரிமை கொண்டோரின்,1
கொண்டோரின் அனுமதி,1
அனுமதி தேவை,1
மதுரைத் திட்டத்தைப்,1
திட்டத்தைப் பற்றி,1
பற்றி மற்ற,1
மற்ற விவரங்களையும்,1
விவரங்களையும் தமிழ்,1
நூல்களின் மின்பதிப்புக்களையும்,1
மின்பதிப்புக்களையும் இந்த,1
இந்த இணைய,1
இணைய தளத்தின்,1
தளத்தின் பக்கங்கள்,1
பக்கங்கள் மூலமாக,1
மூலமாக இலவசமாக,1
இலவசமாக பெறலாம்,1
மதுரைத் திட்ட,2
திட்ட இணைய,1
இணைய தளத்திற்கு,1
தளத்திற்கு வருகை,1
வருகை தந்ததற்கு,1
தந்ததற்கு எங்களது,1
எங்களது மனமார்ந்த,1
மனமார்ந்த நன்றி,1
தங்களது வருகை,1
வருகை தொடர்ந்து,1
தொடர்ந்து நீடிக்கும்,1
நீடிக்கும் என்று,1
என்று கருதுகிறோம்,1
மதுரைத் திட்டத்தில்,1
திட்டத்தில் பங்கு,1
பங்கு கொள்ள,1
கொள்ள விரும்புவோர்,1
விரும்புவோர் மின்னஞ்சல்,1
மின்னஞ்சல் மூலமாக,1
மூலமாக மதுரைத்,1
திட்ட தலைவருடன்,1
தலைவருடன் kalyan,1
kalyan AT,1
AT geocities,1
kumar AT,1
AT vt,1
edu தொடர்பு,1
தொடர்பு கொள்ளவும்,1
